序号,CAS号,UN号,中文名称,别名,"毒性a,b",燃烧爆炸特性,加压气体,其他危害c,介质与金属材料相容性提示d,反应和稳定性提示,危害提示,GHS健康和环境危害类别b,附加信息
130,583-78-8,2020,"2,5-二氯苯酚","2,5-二氯酚",IV,-,-,-,苯酚腐蚀,与氧化剂、酰基氯、酸酐等禁配物发生反应。禁配物:酰基氯、酸酐、氧化剂。危险的分解产物:氯化氢,-,"急性毒性-经口,类别4皮肤腐蚀/刺激,类别2严重眼损伤/眼刺激,类别2危害水生环境-急性危害,类别2危害水生环境-长期危害,类别2",-
131,78-87-5,1279,"1,2-二氯丙烷",二氯化丙烯,IV,"易爆介质;易燃液体,类别2",-,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。与锂、钠、钾、镁、锌、镉、铝、汞等金属发生反应。禁配物:强氧化剂、酸类、碱类及锂、钠、钾、镁、锌、镉、铝、汞等金属。危险的分解产物:氯化氢、光气",高度易燃液体,"急性毒性-经口,类别4急性毒性-吸入,类别4危害水生环境-急性危害,类别3",-
132,563-54-2,2047,"1,2-二氯丙烯",2-氯丙烯基氯;邻二氯丙烯,IV,"易爆介质;易燃液体,类别2",-,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、强酸。危险的分解产物:氯化氢、光气",高度易燃液体,"急性毒性-经口,类别4",-
133,542-75-6,2047,"1,3-二氯丙烯",α-氯丙烯基氯,III*,"易爆介质;易燃液体,类别3",-,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、酸类。危险的分解产物:氯化氢、光气","易燃液体,吞咽会中毒,皮肤接触会中毒,可引起皮肤过敏,禁止催吐","急性毒性-经口,类别3*急性毒性-经皮,类别3*急性毒性-吸入,类别4皮肤腐蚀/刺激,类别2严重眼损伤/眼刺激,类别2皮肤致敏物,类别1特异性靶器官毒性-一次接触,类别3(呼吸道刺激)吸入危害,类别1危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1",-
134,111-44-4,1916,"2,2-二氯乙醚","对称二氯乙醚;二氯乙醚;双(2-氯乙基)醚;β,β-二氯代二乙醚",I,"易燃液体,类别3",-,-,-,"与强氧化剂、水等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、强酸、水、卤素、硫、硫化物。危险的分解产物:氯化物","易燃液体,吞咽会中毒,皮肤接触会中毒,吸入致命","急性毒性-经口,类别3急性毒性-经皮,类别3急性毒性-吸入,类别1皮肤腐蚀/刺激,类别2严重眼损伤/眼刺激,类别2B特异性靶器官毒性-一次接触,类别1特异性靶器官毒性-一次接触,类别3(麻醉效应)",-
135,4109-96-0,2189,二氯硅烷,-,II,"易爆介质;易燃气体,类别1",加压气体,-,-,"与强氧化剂、水、卤素等禁配物接触,有发生火灾和爆炸的危险。禁配物:强碱、水、醇类、强酸、强氧化剂、卤素。危险的分解产物:无资料","极易燃气体,内装加压气体;遇热可能爆炸,吸入致命,可引起皮肤腐蚀","急性毒性-吸入,类别2皮肤腐蚀/刺激,类别1严重眼损伤/眼刺激,类别1特异性靶器官毒性-一次接触,类别2",-
136,95-73-8,3082,"2,4-二氯甲苯",-,-,"易爆介质;易燃液体,类别4",-,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂。危险的分解产物:氯化氢",-,"皮肤腐蚀/刺激,类别2危害水生环境-急性危害,类别2危害水生环境-长期危害,类别2",-
137,75-09-2,1593,二氯甲烷,亚甲基氯；甲撑氯；甲叉二氯,IV/II,-,-,-,-,与碱金属、水等禁配物发生反应。禁配物：碱金属、铝。危险的分解产物：氯化氢、光气,-,急性毒性-经口，类别4皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2A致癌性，类别2特异性靶器官毒性-一次接触，类别1特异性靶器官毒性-一次接触，类别3(麻醉效应)特异性靶器官毒性-反复接触，类别1危害水生环境-急性危害，类别3,限
138,127-21-9,2927,二氯四氟丙酮,-,III,-,-,-,-,-,吞咽会中毒,急性毒性-经口，类别3,-
139,75-34-3,2362,"1,1-二氯乙烷","乙叉二氯；亚乙基二氯；1,1-亚乙基二氯",IV/III,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酸类、碱类。危险的分解产物：氯化氢、光气,高度易燃液体,急性毒性-经口，类别4严重眼损伤/眼刺激，类别2特异性靶器官毒性-一次接触，类别3(呼吸道刺激)危害水生环境-急性危害，类别3危害水生环境-长期危害，类别3,-
140,107-06-2,1184,"1,2-二氯乙烷","乙撑二氯；亚乙基二氯；1,2-二氯化乙烯；二氯乙烷（对称）",IV/II,易爆介质；易燃液体，类别2,—,—,—,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酸类、碱类。危险的分解产物：氯化氢、光气,高度易燃液体,急性毒性-经口，类别4皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2B致癌性，类别2特异性靶器官毒性-一次接触，类别3（呼吸道刺激）危害水生环境-急性危害，类别3危害水生环境-长期危害，类别3,限
141,75-35-4,1303,"1,1-二氯乙烯",偏二氯乙烯；乙烯叉二氯,IV/II,易爆介质；易燃液体，类别1,—,—,—,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酸类、碱类。危险的分解产物：氯化氢,极易燃液体,急性毒性-吸入，类别4危害水生环境-急性危害，类别3,限
142,540-59-0,1150,"1,2-二氯乙烯",二氯化乙炔,IV/III,易爆介质；易燃液体，类别2,—,—,—,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酸类、碱类、铜及其合金。危险的分解产物：氯化氢,高度易燃液体,急性毒性-吸入，类别4危害水生环境-急性危害，类别3危害水生环境-长期危害，类别3,—
143,156-60-5,1150,"1,2-二氯乙烯(反)",—,IV,易爆介质；易燃液体，类别2,—,—,—,—,高度易燃液体和蒸气,急性毒性-吸入，类别4危害水生环境-长期危害，类别3,—
144,111-42-2,—,"2,2'-二羟基二乙胺",二乙醇胺,IV/III,易爆介质,—,—,胺应力腐蚀开裂,与强氧化剂等禁配物发生反应。禁配物：酸类、强氧化剂、铜、锌。危险的分解产物：无资料,造成严重眼损伤,急性毒性-经口，类别4皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别1特异性靶器官毒性-反复接触，类别2*危害水生环境-急性危害，类别2危害水生环境-长期危害，类别3,—
145,1563-66-2,2992(液体)；2757(固体),"2,3-二氢-2,2-二甲基苯并呋喃-7-基-N-甲基氨基甲酸酯",克百威；呋喃丹；虫螨威；卡巴呋喃,II*,-,-,-,-,与强氧化剂、碱类等禁配物发生反应。禁配物：强氧化剂、碱类。危险的分解产物：氮氧化物,吞咽致命，吸入致命,急性毒性-经口，类别2*急性毒性-吸入，类别2*危害水生环境-急性危害，类别1危害水生环境-长期危害，类别1,-
146,528-29-0,3443,"1,2-二硝基苯",邻二硝基苯,I,-,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强还原剂、强碱。危险的分解产物：氮氧化物。,吞咽致命，皮肤接触会致命，吸入致命,急性毒性-经口，类别2*急性毒性-经皮，类别1急性毒性-吸入，类别2*特异性靶器官毒性-反复接触，类别2*危害水生环境-急性危害，类别1危害水生环境-长期危害，类别1,-
147,99-65-0,3443,"1,3-二硝基苯",间二硝基苯,I,-,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强还原剂、强碱。危险的分解产物：氮氧化物,吞咽致命，皮肤接触会致命，吸入致命,急性毒性-经口，类别2*急性毒性-经皮，类别1急性毒性-吸入，类别2*特异性靶器官毒性-反复接触，类别2*危害水生环境-急性危害，类别1危害水生环境-长期危害，类别1,-
148,100-25-4,3443,"1,4-二硝基苯",对二硝基苯,I,-,-,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、强还原剂、强碱。危险的分解产物:氮氧化物","吞咽致命,皮肤接触会致命,吸入致命","急性毒性-经口,类别2*急性毒性-经皮,类别1急性毒性-吸入,类别2*特异性靶器官毒性-反复接触,类别2*危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1",-
149,51-28-5,1320,"2,4-二硝基苯酚[含水≥15%]","1-羟基-2,4-二硝基苯",III *,-,-,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、强碱、酰基氯、酸酐、重金属粉末。危险的分解产物:氮氧化物","吞咽会中毒,皮肤接触会中毒,吸入会中毒","急性毒性-经口,类别3*急性毒性-经皮,类别3*急性毒性-吸入,类别3*特异性靶器官毒性-反复接触,类别2*危害水生环境-急性危害,类别1",-
150,119-26-6,1325,"2,4-二硝基苯肼",-,IV,-,-,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂。危险的分解产物:氮氧化物",-,"急性毒性-经口,类别4",-
151,96-12-8,2872,"1,2-二溴-3-氯丙烷",-,II /I,"易燃液体,类别4",-,-,-,-,"可燃液体,吞咽会中毒,吸入致命,可能致癌","急性毒性-经口,类别3急性毒性-经皮,类别4急性毒性-吸入,类别2严重眼损伤/眼刺激,类别2B致癌性,类别2生殖毒性,类别1A特异性靶器官毒性-一次接触,类别3(呼吸道刺激)特异性靶器官毒性-一次接触,类别1(肝脏、血液、呼吸系统、肾脏、中枢神经系统)危害水生环境-急性危害,类别3危害水生环境-长期危害,类别3",禁
152,106-93-4,1605,"1,2-二溴乙烷",乙撑二溴;二溴化乙烯,III*/II,-,-,-,-,与强氧化剂等禁配物发生反应。禁配物:强氧化剂、碱金属。危险的分解产物:溴化氢,"吞咽会中毒,皮肤接触会中毒,吸入会中毒,可能致癌","急性毒性-经口,类别3*急性毒性-经皮,类别3*急性毒性-吸入,类别3*皮肤腐蚀/刺激,类别2严重眼损伤/眼刺激,类别2致癌性,类别1B特异性靶器官毒性-一次接触,类别3(呼吸道刺激)危害水生环境-急性危害,类别2危害水生环境-长期危害,类别2",-
153,10102-44-0,1067,二氧化氮,-,II*,-,加压气体,"氧化性气体,类别1",硝酸腐蚀/硝酸盐应力腐蚀开裂,-,"可引起燃烧或加剧燃烧,氧化剂,内装加压气体:遇热可能爆炸,吸入致命,可引起皮肤腐蚀","急性毒性-吸入,类别2*皮肤腐蚀/刺激,类别1B严重眼损伤/眼刺激,类别1特异性靶器官毒性-一次接触,类别3(呼吸道刺激)",-
154,7446-09-5,1079,二氧化硫,亚硫酸酐,III/II,易爆介质,加压气体,-,硫酸腐蚀,"与强氧化剂、强还原剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强还原剂、强氧化剂、易燃或可燃物。危险的分解产物:无资料","内装加压气体:遇热可能爆炸,吸入会中毒,可引起皮肤腐蚀","急性毒性-吸入,类别3皮肤腐蚀/刺激,类别1B严重眼损伤/眼刺激,类别1",-
155,123-91-1,1165,"1,4-二氧杂环己烷","二噁烷;1,4-二氧已环",IV/III,"易爆介质;易燃液体,类别2",-,-,-,"与强氧化剂、强还原剂、卤素等禁配物接触,有发生火灾和爆炸的危险。禁配物:强还原剂、强氧化剂、卤素。危险的分解产物:无资料",高度易燃液体,"急性毒性-经口,类别4急性毒性-经皮,类别4急性毒性-吸入,类别4严重眼损伤/眼刺激,类别2致癌性,类别2特异性靶器官毒性-一次接触,类别3(呼吸道刺激)危害水生环境-急性危害,类别3",-
156,109-89-7,1154,二乙胺,-,-/IV,易爆介质；易燃液体，类别2,-,-,胺腐蚀、碱腐蚀、碱脆,与强氧化剂、酸类等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酸类、酰基氯、酸酐。危险的分解产物：无资料,高度易燃液体，可引起皮肤腐蚀,皮肤腐蚀/刺激，类别1A严重眼损伤/眼刺激，类别1特异性靶器官毒性-一次接触，类别3（呼吸道刺激）,-
157,111-77-3,-,二乙二醇单甲醚,-,-,易爆介质；易燃液体，类别4,-,-,-,-,-,生殖毒性，类别2,-
158,8065-48-3,3018,"O，O-二乙基-O-(2-乙硫基乙基)硫代磷酸酯与O,O-二乙基-S-(2-乙硫基乙基)硫代磷酸酯的混合物[含量>3%]",内吸磷；杀虱多；1059,I,-,-,-,-,与强氧化剂、碱类等禁配物发生反应。禁配物：强氧化剂、碱类。危险的分解产物：氧化磷、氧化硫、硫化氢,吞咽致命，皮肤接触会致命,急性毒性-经口，类别2*急性毒性-经皮，类别1危害水生环境-急性危害，类别1,禁
159,56-38-2,3018,"O,O-二乙基-O-(4-硝基苯基)硫代磷酸酯[含量>4%]",对硫磷,II*/I,-,-,-,-,与强碱分解。与强氧化剂等禁配物发生反应。禁配物:强氧化剂、碱类。危险的分解产物:氧化磷、氧化硫,"吞咽致命,皮肤接触会中毒,吸入致命","急性毒性-经口,类别2*急性毒性-经皮,类别3*急性毒性-吸入,类别2*特异性靶器官毒性-反复接触,类别1危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1",限
160,298-04-4,2783,"O,O-二乙基-S-(2-乙硫基乙基)二硫代磷酸酯[含量>15%]",乙拌磷,I,-,-,-,-,与强氧化剂、碱类等禁配物发生反应。禁配物:强氧化剂、碱类。危险的分解产物:氧化磷、氧化硫,"吞咽致命,皮肤接触会致命","急性毒性-经口,类别2*急性毒性-经皮,类别1危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1",-
161,298-02-2,3018(乳剂);2783(粉剂),"O,O-二乙基-S-(乙硫基甲基)二硫代磷酸酯",甲拌磷;西梅脱;3911,I,-,-,-,-,与强酸或碱分解。与强氧化剂等禁配物发生反应。禁配物:强氧化剂、碱类。危险的分解产物:氧化磷、硫化物,"吞咽会致命,皮肤接触会致命","急性毒性-经口,类别2*急性毒性-经皮,类别1危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1",-
162,105-05-5,2049,"1,4-二乙基苯",对二乙基苯,-,易爆介质；易燃液体，类别3,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险禁配物：强氧化剂、酸类、卤素等。危险的分解产物：无资料,易燃液体,皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2危害水生环境-急性危害，类别2危害水生环境-长期危害，类别2,-
163,579-66-8,-,"2,6-二乙基苯胺",-,IV,-,-,-,胺腐蚀,-,-,急性毒性-经口，类别4皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2A,-
164,91-66-7,2432,"N,N-二乙基苯胺",二乙氨基苯,III*,易爆介质,-,-,胺腐蚀,与强氧化剂等禁配物发生剧烈反应。禁配物：强氧化剂、强酸。危险的分解产物：无资料,吞咽会中毒，皮肤接触会中毒，吸入会中毒,急性毒性-经口，类别3*急性毒性-经皮，类别3*急性毒性-吸入，类别3*特异性靶器官毒性-反复接触，类别2*危害水生环境-急性危害，类别2危害水生环境-长期危害，类别2,-
165,15972-60-8,3077,"N-(2,6-二乙基苯基)-N-甲氧基甲基-氯乙酰胺",甲草胺；草不绿；杂草锁,IV/III,-,-,-,胺腐蚀,与强氧化剂、强酸、强碱等禁配物发生剧烈反应。禁配物：强氧化剂、强酸、强碱。危险的分解产物：氮氧化物、氯化氢,可能引起皮肤过敏,急性毒性-经口，类别4皮肤致敏物，类别1危害水生环境-急性危害，类别1危害水生环境-长期危害，类别1,-
166,1067-20-5,-,"3,3-二乙基戊烷",-,-,易爆介质；易燃液体，类别2,-,-,-,-,高度易燃液体和蒸气,-,-
167,627-53-2,3440,二乙基硒,-,III,易爆介质；易燃液体，类别2,-,-,-,-,高度易燃液体，吞咽会中毒，皮肤接触会中毒,急性毒性-经口，类别3急性毒性-经皮，类别3特异性靶器官毒性-反复接触，类别2危害水生环境-急性危害，类别1危害水生环境-长期危害，类别1,-
168,108-57-6,-,"1,3-二乙烯苯",间二乙烯苯,-,易爆介质；易燃液体，类别3,-,-,-,-,易燃液体和蒸气,皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2生殖毒性，类别2特异性靶器官毒性-反复接触，类别2,-
169,1321-74-0,3082,"1,2-二乙烯基苯",邻二乙烯苯,IV,易爆介质；易燃液体，类别4,-,-,-,-,可燃液体,急性毒性-经口，类别5皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2生殖毒性，类别2特异性靶器官毒性-一次接触，类别3（呼吸道刺激，麻醉作用）特异性靶器官毒性-一次接触，类别2（肝脏、胸腺、肾脏）危害水生环境-急性危害，类别2危害水生环境-长期危害，类别2,-
170,109-93-3,1167,二乙烯基醚[稳定的],乙烯基醚,-,易爆介质；易燃液体，类别1,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。易发生自聚反应。禁配物：强氧化剂、强酸、强碱。危险的分解产物：无资料,极易燃液体,-,-
171,105-57-7,1088,"1,1-二乙氧基乙烷",乙叉二乙基醚；二乙醇缩乙醛；乙缩醛；亚乙基二乙基醚,-,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酸类。危险的分解产物：无资料,高度易燃液体,皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2,-
172,108-18-9,1158,二异丙胺,-,IV,易爆介质；易燃液体，类别2,-,-,胺腐蚀、碱腐蚀、碱脆,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酸类。危险的分解产物：无资料,高度易燃液体，可引起皮肤腐蚀,急性毒性-经口，类别4急性毒性-吸入，类别4皮肤腐蚀/刺激，类别1B严重眼损伤/眼刺激，类别1特异性靶器官毒性-一次接触，类别3（呼吸道刺激）危害水生环境-急性危害，类别3,-
173,110-97-4,-,二异丙醇胺,"2,2'-二羟基二丙胺",-,易爆介质,-,-,胺应力腐蚀开裂,与强氧化剂等禁配物发生反应。禁配物：强氧化剂、强酸。危险的分解产物：无资料,-,严重眼损伤/眼刺激，类别2,-
174,108-83-8,1157,二异丁基酮,"2,6-二甲基-4-庚酮;二异丁基甲酮",-,"易爆介质;易燃液体,类别3",-,-,-,"与强氧化剂、强还原剂、强碱等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、强还原剂、强碱。危险的分解产物:无资料",易燃液体,"特异性靶器官毒性-一次接触,类别3(呼吸道刺激)",-
175,111-92-2,2248,二正丁胺,二丁胺,II,"易爆介质;易燃液体,类别3",-,-,胺腐蚀、碱腐蚀、碱脆,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:酸类、酰基氯、酸酐、强氧化剂、二氧化碳。危险的分解产物:无资料","易燃液体,皮肤接触会中毒,吸入会致命,可引起皮肤腐蚀","急性毒性-经口,类别4急性毒性-经皮,类别3急性毒性-吸入,类别2皮肤腐蚀/刺激,类别1A严重眼损伤/眼刺激,类别1特异性靶器官毒性-一次接触,类别1危害水生环境-急性危害,类别2",-
176,8014-95-7,1831,发烟硫酸,-,-(II-密封性),-,-,-,硫酸腐蚀,"与强还原剂、易燃或可燃物、碱类、金属粉末等禁配物接触,有发生火灾和爆炸的危险。三氯甲烷室温下(约22℃)即可与发烟硫酸发生化学反应产生光气,四氯化碳与发烟硫酸在55℃时反应生成光气。禁配物:碱类、易燃或可燃物、水、强还原剂、电石、高氯酸盐、雷酸盐、苦味酸盐、金属粉末等。危险的分解产物:氧化硫",可引起皮肤腐蚀,"皮肤腐蚀/刺激,类别1A严重眼损伤/眼刺激,类别1特异性靶器官毒性-一次接触,类别3(呼吸道刺激)危害水生环境-急性危害,类别3",G1
177,110-00-9,2389,呋喃,氧杂茂,IV,易爆介质；易燃液体，类别1,—,—,—,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酸类。危险的分解产物：无资料,极易燃液体,急性毒性-经口，类别4急性毒性-吸入，类别4皮肤腐蚀/刺激，类别2生殖细胞致突变性，类别2致癌性，类别2特异性靶器官毒性-反复接触，类别2*危害水生环境-急性危害，类别3危害水生环境-长期危害，类别3,—
178,98-00-0,2874,2-呋喃甲醇,糠醇,II,易爆介质,—,—,—,与强氧化剂、酸类等禁配物接触，有发生火灾和爆炸的危险。禁配物：酰基氯、氧、酸类。危险的分解产物：无资料,吞咽会中毒，皮肤接触会中毒，吸入致命,急性毒性-经口，类别3急性毒性-经皮，类别3急性毒性-吸入，类别2严重眼损伤/眼刺激，类别2A特异性靶器官毒性-一次接触，类别3（呼吸道刺激）特异性靶器官毒性-反复接触，类别2*,—
179,7782-41-4,1045,氟,-,II*,-,加压气体,"氧化性气体,类别1",氢氟酸腐蚀、氢氟酸致氢应力开裂,"与易燃或可燃物、活性金属粉末等禁配物接触,有发生火灾和爆炸的危险。禁配物:易燃或可燃物、活性金属粉末、氨、联胺等。危险的分解产物:无意义","可引起燃烧或加剧燃烧,氧化剂,内装加压气体:遇热可能爆炸,吸入致命,可引起皮肤腐蚀","急性毒性-吸入,类别2*皮肤腐蚀/刺激,类别1A严重眼损伤/眼刺激,类别1",-
180,462-06-6,2387,氟代苯,氟苯,IV,"易爆介质;易燃液体,类别2",-,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂。危险的分解产物:氟化氢",高度易燃液体,"急性毒性-经口,类别5严重眼损伤/眼刺激,类别2A危害水生环境-急性危害,类别2危害水生环境-长期危害,类别2",-
181,7664-39-3,1052,氟化氢[无水],-,I,-,-,-,氢氟酸腐蚀、氢氟酸致氢应力腐蚀,与易燃或可燃物、金属、玻璃等很多物质发生反应。禁配物:易燃或可燃物。危险的分解产物:无资料,"吞咽致命,皮肤接触会致命,吸入致命,可引起皮肤腐蚀","急性毒性-经口,类别2*急性毒性-经皮,类别1急性毒性-吸入,类别2*皮肤腐蚀/刺激,类别1A严重眼损伤/眼刺激,类别1危害水生环境-急性危害,类别3",-
182,7664-39-3,1790,氢氟酸,氟化氢溶液,I,-,-,-,"氢氟酸腐蚀,氢氟酸致氢应力开裂",与强碱、玻璃等禁配物发生反应。与活性金属粉末反应放出易燃气体。禁配物:强碱、活性金属粉末、玻璃制品。危险的分解产物:氟化氢,"吞咽致命,皮肤接触会致命,吸入致命,可引起皮肤腐蚀","急性毒性-经口,类别2*急性毒性-经皮,类别1急性毒性-吸入,类别2*皮肤腐蚀/刺激,类别1A严重眼损伤/眼刺激,类别1危害水生环境-急性危害,类别3",-
183,1582-09-8,2588,氟乐灵,氟乐宁;特氟力,-/III,-,-,-,-,-,-,"皮肤致敏物,类别1致癌性,类别2危害水生环境-急性危险,类别1危害水生环境-长期危险,类别1",-
184,353-36-6,2453,氟乙烷,制冷剂R161;乙基氟,-,"易爆介质;易燃气体,类别1",加压气体,-,氟化物应力腐蚀开裂,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂。危险的分解产物:氟化氢","极易燃气体,内装加压气体:遇热可能爆炸",-,-
185,75-02-5,1860,氟乙烯[稳定的],乙烯基氟,-,易爆介质；易燃气体，类别1；化学不稳定性气体，类别B,加压气体,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。燃烧或无抑制剂时可发生剧烈聚合。禁配物：强氧化剂、强酸。危险的分解产物：氟化氢,极易燃气体，(不稳定)，内装加压气体：遇热可能爆炸，可能致癌,生殖细胞致突变性，类别2致癌性，类别1B特异性靶器官毒性-一次接触，类别3(麻醉效应)特异性靶器官毒性-反复接触，类别2,-
186,592-76-7,2278,1-庚烯,正庚烯；正戊基乙烯,-,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。高热下发生聚合反应。禁配物：强氧化剂、强酸、卤代烃、卤素。危险的分解产物：无资料,高度易燃液体，禁止催吐,特异性靶器官毒性-一次接触，类别3(麻醉效应)吸入危害，类别1,-
187,7439-97-6,2809,汞,水银,II*/I,-,-,-,液体金属脆断,与强氧化剂、氯酸盐、硝酸盐、硫酸等禁配物发生反应。与叠氮化物、乙炔或氨反应可生成爆炸性化合物。禁配物:氯酸盐、硝酸盐、硫酸、叠氮化物、乙炔、氨。危险的分解产物:无资料,吸入致命,"急性毒性-吸入,类别2*生殖毒性,类别1B特异性靶器官毒性-反复接触,类别1危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1",-
188,78-10-4,1292,硅酸四乙酯,四乙氧基硅烷;正硅酸乙酯,IV,"易爆介质;易燃液体,类别3",-,-,-,"与强氧化剂、水等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、强酸、强碱。危险的分解产物:氧化硅",易燃液体,"急性毒性-吸入,类别4严重眼损伤/眼刺激,类别2特异性靶器官毒性-一次接触,类别3(呼吸道刺激)",-
189,872-05-9,3295,1-癸烯,-,-,易爆介质；易燃液体，类别3,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。高热下发生聚合反应。禁配物：强氧化剂、强酸、卤代烃、卤素等。危险的分解产物：无资料,易燃液体，禁止催吐,皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2B吸入危害，类别1危害水生环境-急性危害，类别1危害水生环境-长期危害，类别1,-
190,75-19-4,1027,环丙烷,-,-,易爆介质；易燃气体，类别1,加压气体,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强酸、强碱、卤素。危险的分解产物：无资料,极易燃气体，内装加压气体：遇热可能爆炸,-,-
191,287-23-0,2601,环丁烷,-,-,易爆介质；易燃气体，类别1,加压气体,-,-,-,极易燃气体，内装加压气体：遇热可能爆炸,-,-
192,108-91-8,2357,环己胺,氨基环己烷；六氢苯胺,IV/II,易燃液体，类别3,-,-,胺腐蚀、碱腐蚀、碱脆,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：酸类、酰基氯、酸酐、强氧化剂。危险的分解产物：氨,易燃液体，可引起皮肤腐蚀,急性毒性-经口，类别4急性毒性-经皮，类别4皮肤腐蚀/刺激，类别1B严重眼损伤/眼刺激，类别1生殖毒性，类别2特异性靶器官毒性-一次接触，类别3（呼吸道刺激）危害水生环境-急性危害，类别3,-
193,108-94-1,1915,环己酮,-,IV/III,易爆介质；易燃液体，类别3,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强还原剂、塑料。危险的分解产物：无资料,易燃液体,急性毒性-吸入，类别4,-
194,110-82-7,1145,环己烷,六氢化苯,-,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强酸、强碱、卤素。危险的分解产物：无资料,高度易燃液体，禁止催吐,皮肤腐蚀/刺激，类别2特异性靶器官毒性-一次接触，类别3（麻醉效应）吸入危害，类别1危害水生环境-急性危害，类别1,-
195,110-83-8,2256,环己烯,"1,2,3,4-四氢化苯;四氢化苯",IV,"易爆介质;易燃液体,类别2",-,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。长期储存下可能生成过氧化物。禁配物:强氧化剂、酸类、卤代烃、卤素等。危险的分解产物:无资料","高度易燃液体,禁止催吐","急性毒性-经口,类别4严重眼损伤/眼刺激,类别2特异性靶器官毒性-一次接触,类别3(呼吸道刺激、麻醉效应)吸入危害,类别1危害水生环境-急性危害,类别2危害水生环境-长期危害,类别2",-
196,287-92-3,1146,环戊烷,-,-,"易爆介质;易燃液体,类别2",-,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、强酸、强碱、卤素。危险的分解产物:无资料",高度易燃液体,"危害水生环境-长期危害,类别3危害水生环境-急性危害,类别3",-
